Index,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,id,outlier
26,13.0,89.0,12.0,50.0,72.0,38.0,56.0,0.0,4.0,17.0,0.0,61.0,32.0,94.0,100.0,100.0,9.0,0
27,57.0,100.0,22.0,72.0,0.0,31.0,25.0,0.0,75.0,13.0,100.0,50.0,75.0,87.0,26.0,85.0,10.0,0
28,74.0,87.0,31.0,100.0,0.0,69.0,62.0,64.0,100.0,79.0,100.0,38.0,84.0,0.0,18.0,1.0,11.0,0
29,48.0,96.0,62.0,65.0,88.0,27.0,21.0,0.0,21.0,33.0,79.0,67.0,100.0,100.0,0.0,85.0,12.0,0
30,100.0,100.0,72.0,99.0,36.0,78.0,34.0,54.0,79.0,47.0,64.0,13.0,19.0,0.0,0.0,2.0,13.0,0
31,91.0,74.0,54.0,100.0,0.0,87.0,23.0,59.0,81.0,67.0,100.0,39.0,79.0,4.0,21.0,0.0,14.0,0
32,0.0,85.0,38.0,100.0,81.0,88.0,87.0,50.0,84.0,12.0,58.0,0.0,53.0,22.0,100.0,24.0,15.0,0
33,35.0,76.0,57.0,100.0,100.0,92.0,68.0,66.0,81.0,38.0,82.0,9.0,32.0,0.0,0.0,17.0,16.0,0
34,50.0,84.0,66.0,100.0,75.0,75.0,51.0,51.0,100.0,42.0,97.0,13.0,49.0,0.0,0.0,7.0,17.0,0
35,99.0,80.0,63.0,100.0,25.0,76.0,79.0,68.0,100.0,62.0,97.0,23.0,54.0,0.0,0.0,16.0,18.0,0
36,24.0,66.0,43.0,100.0,59.0,65.0,34.0,28.0,0.0,1.0,16.0,11.0,58.0,0.0,100.0,1.0,19.0,0
37,0.0,73.0,19.0,99.0,72.0,100.0,70.0,73.0,32.0,48.0,5.0,18.0,46.0,0.0,100.0,0.0,20.0,0
38,12.0,77.0,20.0,62.0,78.0,40.0,50.0,0.0,1.0,17.0,0.0,64.0,23.0,98.0,100.0,100.0,21.0,0
39,0.0,46.0,49.0,64.0,78.0,87.0,100.0,100.0,91.0,75.0,85.0,49.0,75.0,24.0,89.0,0.0,22.0,0
40,10.0,86.0,34.0,66.0,68.0,34.0,34.0,0.0,4.0,26.0,0.0,69.0,34.0,95.0,100.0,100.0,23.0,0
41,73.0,62.0,53.0,100.0,0.0,72.0,82.0,39.0,100.0,0.0,15.0,14.0,52.0,57.0,90.0,94.0,24.0,0
42,54.0,100.0,34.0,75.0,6.0,43.0,0.0,11.0,70.0,0.0,100.0,28.0,44.0,46.0,36.0,21.0,25.0,0
43,36.0,92.0,7.0,83.0,0.0,37.0,26.0,0.0,77.0,6.0,100.0,46.0,84.0,89.0,36.0,100.0,27.0,0
44,61.0,59.0,58.0,100.0,0.0,84.0,44.0,42.0,80.0,0.0,8.0,5.0,33.0,44.0,100.0,70.0,29.0,0
45,100.0,84.0,31.0,100.0,0.0,88.0,8.0,70.0,15.0,53.0,15.0,35.0,0.0,17.0,0.0,0.0,30.0,0
46,32.0,59.0,53.0,100.0,100.0,95.0,79.0,46.0,48.0,0.0,93.0,19.0,58.0,55.0,0.0,63.0,31.0,0
47,40.0,99.0,51.0,66.0,79.0,26.0,39.0,0.0,0.0,27.0,8.0,77.0,46.0,100.0,100.0,94.0,32.0,0
48,0.0,98.0,36.0,100.0,80.0,85.0,68.0,42.0,56.0,0.0,25.0,23.0,50.0,37.0,100.0,32.0,33.0,0
49,27.0,76.0,1.0,42.0,16.0,0.0,70.0,3.0,100.0,40.0,92.0,84.0,44.0,100.0,0.0,73.0,34.0,0
50,0.0,0.0,31.0,15.0,63.0,30.0,88.0,52.0,100.0,79.0,82.0,100.0,56.0,82.0,79.0,64.0,35.0,0
51,30.0,86.0,67.0,100.0,77.0,77.0,53.0,50.0,78.0,40.0,100.0,17.0,56.0,0.0,0.0,5.0,36.0,0
52,29.0,91.0,14.0,57.0,66.0,39.0,30.0,0.0,0.0,19.0,3.0,72.0,39.0,97.0,100.0,100.0,37.0,0
53,64.0,93.0,0.0,67.0,97.0,67.0,89.0,100.0,14.0,70.0,100.0,68.0,96.0,36.0,28.0,0.0,39.0,0
54,9.0,93.0,53.0,100.0,89.0,80.0,57.0,52.0,17.0,30.0,0.0,5.0,50.0,2.0,100.0,0.0,40.0,0
55,0.0,93.0,62.0,100.0,100.0,78.0,69.0,43.0,50.0,5.0,35.0,0.0,15.0,35.0,86.0,37.0,41.0,0
56,30.0,87.0,16.0,55.0,68.0,41.0,52.0,0.0,0.0,16.0,15.0,63.0,41.0,100.0,100.0,98.0,42.0,0
57,60.0,100.0,20.0,76.0,0.0,39.0,10.0,1.0,69.0,0.0,100.0,33.0,56.0,40.0,15.0,10.0,43.0,0
58,0.0,83.0,29.0,100.0,88.0,95.0,64.0,69.0,73.0,43.0,100.0,13.0,50.0,1.0,10.0,0.0,44.0,0
59,5.0,90.0,46.0,98.0,89.0,100.0,100.0,81.0,77.0,59.0,62.0,34.0,37.0,14.0,0.0,0.0,45.0,0
60,100.0,99.0,67.0,100.0,24.0,68.0,0.0,32.0,27.0,0.0,99.0,8.0,77.0,40.0,9.0,55.0,46.0,0
61,47.0,86.0,73.0,100.0,89.0,75.0,68.0,49.0,100.0,28.0,82.0,4.0,38.0,0.0,0.0,13.0,47.0,0
62,29.0,72.0,45.0,100.0,78.0,78.0,60.0,41.0,25.0,12.0,0.0,4.0,50.0,6.0,100.0,0.0,48.0,0
63,1.0,88.0,0.0,54.0,59.0,31.0,36.0,0.0,11.0,28.0,4.0,68.0,28.0,97.0,100.0,100.0,49.0,0
64,11.0,92.0,56.0,100.0,83.0,82.0,52.0,59.0,87.0,39.0,100.0,14.0,55.0,0.0,0.0,0.0,51.0,0
65,51.0,76.0,68.0,91.0,100.0,100.0,83.0,80.0,59.0,60.0,34.0,40.0,10.0,20.0,0.0,0.0,52.0,0
66,56.0,99.0,18.0,72.0,0.0,24.0,36.0,0.0,85.0,23.0,100.0,69.0,58.0,100.0,19.0,74.0,53.0,0
67,0.0,75.0,47.0,87.0,100.0,100.0,91.0,80.0,72.0,60.0,53.0,40.0,35.0,20.0,19.0,0.0,54.0,0
68,41.0,96.0,17.0,76.0,50.0,37.0,31.0,0.0,0.0,34.0,1.0,86.0,49.0,98.0,100.0,100.0,56.0,0
69,20.0,82.0,62.0,100.0,100.0,81.0,68.0,54.0,82.0,50.0,89.0,19.0,42.0,0.0,0.0,13.0,57.0,0
70,12.0,78.0,40.0,100.0,74.0,77.0,52.0,41.0,13.0,14.0,0.0,17.0,50.0,8.0,100.0,0.0,58.0,0
71,18.0,73.0,0.0,73.0,10.0,24.0,54.0,0.0,100.0,22.0,95.0,71.0,52.0,100.0,5.0,84.0,59.0,0
72,97.0,100.0,41.0,90.0,4.0,58.0,0.0,22.0,52.0,0.0,100.0,22.0,49.0,38.0,8.0,13.0,60.0,0
73,57.0,63.0,100.0,100.0,0.0,91.0,36.0,53.0,95.0,16.0,2.0,0.0,5.0,36.0,91.0,67.0,61.0,0
74,30.0,81.0,87.0,100.0,100.0,98.0,37.0,86.0,46.0,54.0,99.0,32.0,59.0,2.0,0.0,0.0,62.0,0
75,12.0,61.0,0.0,20.0,44.0,0.0,92.0,23.0,100.0,64.0,70.0,100.0,15.0,92.0,0.0,52.0,63.0,0
76,0.0,84.0,50.0,100.0,72.0,79.0,37.0,52.0,51.0,41.0,100.0,27.0,62.0,3.0,3.0,0.0,64.0,0
77,0.0,100.0,61.0,100.0,100.0,93.0,63.0,64.0,36.0,33.0,14.0,0.0,9.0,29.0,47.0,42.0,65.0,0
78,100.0,79.0,67.0,100.0,26.0,76.0,41.0,38.0,47.0,0.0,0.0,8.0,38.0,38.0,96.0,58.0,66.0,0
79,37.0,91.0,84.0,100.0,100.0,96.0,52.0,87.0,32.0,57.0,74.0,38.0,41.0,1.0,0.0,0.0,67.0,0
80,100.0,100.0,58.0,83.0,31.0,55.0,17.0,24.0,43.0,0.0,80.0,19.0,50.0,43.0,0.0,39.0,68.0,0
81,94.0,79.0,40.0,100.0,13.0,65.0,59.0,30.0,67.0,0.0,0.0,17.0,45.0,52.0,100.0,83.0,69.0,0
82,0.0,82.0,75.0,56.0,100.0,12.0,22.0,0.0,22.0,41.0,92.0,73.0,84.0,100.0,2.0,80.0,70.0,0
83,80.0,100.0,36.0,100.0,58.0,80.0,65.0,82.0,82.0,47.0,100.0,14.0,53.0,0.0,0.0,7.0,71.0,0
84,35.0,76.0,0.0,42.0,11.0,0.0,65.0,5.0,100.0,41.0,97.0,85.0,49.0,100.0,9.0,69.0,72.0,0
85,0.0,75.0,31.0,72.0,67.0,84.0,100.0,100.0,94.0,82.0,80.0,54.0,68.0,27.0,56.0,0.0,74.0,0
86,90.0,71.0,100.0,100.0,25.0,85.0,10.0,50.0,80.0,62.0,99.0,53.0,64.0,17.0,0.0,0.0,75.0,0
87,0.0,97.0,42.0,100.0,67.0,71.0,53.0,35.0,34.0,0.0,16.0,23.0,40.0,42.0,100.0,42.0,76.0,0
88,38.0,94.0,4.0,63.0,0.0,20.0,41.0,0.0,84.0,19.0,100.0,60.0,77.0,98.0,32.0,100.0,77.0,0
89,72.0,100.0,38.0,88.0,2.0,57.0,0.0,19.0,51.0,0.0,100.0,20.0,55.0,34.0,12.0,7.0,78.0,0
90,26.0,79.0,69.0,100.0,92.0,85.0,56.0,56.0,90.0,42.0,100.0,15.0,51.0,0.0,0.0,2.0,79.0,0
91,8.0,77.0,47.0,100.0,100.0,96.0,71.0,66.0,100.0,46.0,99.0,13.0,46.0,0.0,0.0,13.0,80.0,0
92,31.0,73.0,55.0,100.0,55.0,53.0,33.0,14.0,0.0,0.0,30.0,11.0,65.0,1.0,100.0,1.0,81.0,0
93,41.0,69.0,76.0,100.0,73.0,81.0,57.0,39.0,46.0,0.0,0.0,10.0,50.0,9.0,100.0,10.0,83.0,0
94,32.0,100.0,12.0,76.0,0.0,48.0,1.0,21.0,39.0,0.0,100.0,9.0,64.0,21.0,18.0,3.0,84.0,0
95,16.0,90.0,9.0,61.0,50.0,35.0,23.0,0.0,5.0,35.0,0.0,81.0,48.0,97.0,100.0,100.0,85.0,0
96,21.0,88.0,0.0,57.0,88.0,58.0,88.0,18.0,15.0,0.0,8.0,42.0,12.0,83.0,100.0,100.0,86.0,0
97,0.0,100.0,54.0,98.0,91.0,85.0,71.0,52.0,62.0,17.0,74.0,0.0,100.0,32.0,42.0,37.0,87.0,0
98,47.0,93.0,1.0,67.0,0.0,16.0,53.0,0.0,100.0,32.0,95.0,81.0,42.0,100.0,7.0,62.0,88.0,0
99,38.0,51.0,8.0,66.0,0.0,19.0,42.0,0.0,87.0,26.0,100.0,71.0,61.0,100.0,16.0,84.0,89.0,0
100,95.0,92.0,50.0,100.0,21.0,77.0,74.0,87.0,100.0,86.0,69.0,56.0,37.0,26.0,0.0,0.0,90.0,0
101,18.0,88.0,2.0,54.0,40.0,25.0,2.0,0.0,0.0,30.0,20.0,70.0,45.0,100.0,100.0,93.0,91.0,0
102,39.0,100.0,23.0,82.0,0.0,52.0,1.0,21.0,48.0,0.0,100.0,16.0,70.0,42.0,6.0,55.0,92.0,0
103,3.0,96.0,53.0,100.0,81.0,68.0,83.0,28.0,72.0,0.0,100.0,34.0,51.0,41.0,0.0,43.0,94.0,0
104,0.0,65.0,38.0,79.0,62.0,100.0,72.0,86.0,77.0,65.0,79.0,43.0,83.0,21.0,100.0,0.0,95.0,0
105,19.0,81.0,0.0,41.0,12.0,0.0,54.0,1.0,88.0,29.0,100.0,71.0,72.0,100.0,31.0,91.0,96.0,0
106,0.0,60.0,38.0,80.0,80.0,100.0,100.0,92.0,80.0,69.0,65.0,46.0,55.0,23.0,55.0,0.0,97.0,0
107,40.0,72.0,16.0,50.0,96.0,69.0,70.0,100.0,0.0,73.0,65.0,57.0,100.0,47.0,94.0,0.0,98.0,0
108,100.0,100.0,63.0,78.0,28.0,53.0,0.0,27.0,4.0,0.0,60.0,1.0,78.0,22.0,24.0,21.0,99.0,0
109,33.0,58.0,19.0,90.0,78.0,100.0,91.0,62.0,51.0,28.0,0.0,2.0,37.0,1.0,100.0,0.0,100.0,0
110,14.0,91.0,9.0,52.0,28.0,10.0,74.0,0.0,100.0,38.0,86.0,81.0,43.0,100.0,0.0,80.0,101.0,0
111,20.0,85.0,62.0,100.0,71.0,72.0,45.0,52.0,98.0,47.0,100.0,17.0,53.0,0.0,0.0,0.0,102.0,0
112,9.0,100.0,0.0,66.0,20.0,25.0,61.0,0.0,100.0,21.0,93.0,64.0,54.0,91.0,9.0,76.0,103.0,0
113,42.0,83.0,60.0,53.0,89.0,11.0,13.0,0.0,0.0,33.0,77.0,57.0,100.0,92.0,18.0,100.0,104.0,0
114,4.0,63.0,12.0,15.0,52.0,0.0,92.0,15.0,100.0,63.0,72.0,100.0,28.0,97.0,0.0,62.0,105.0,0
115,38.0,94.0,90.0,100.0,94.0,79.0,59.0,57.0,68.0,33.0,100.0,12.0,54.0,0.0,0.0,1.0,106.0,0
116,22.0,55.0,10.0,60.0,0.0,18.0,46.0,0.0,89.0,28.0,100.0,70.0,68.0,100.0,29.0,69.0,107.0,0
117,27.0,100.0,0.0,58.0,12.0,5.0,62.0,0.0,100.0,39.0,97.0,91.0,48.0,97.0,18.0,53.0,108.0,0
118,43.0,94.0,15.0,66.0,52.0,38.0,20.0,0.0,5.0,35.0,0.0,83.0,42.0,100.0,100.0,98.0,109.0,0
119,73.0,98.0,35.0,100.0,0.0,59.0,0.0,13.0,71.0,8.0,100.0,45.0,29.0,41.0,9.0,0.0,111.0,0
120,15.0,73.0,0.0,34.0,30.0,0.0,81.0,1.0,100.0,38.0,87.0,78.0,44.0,100.0,16.0,68.0,112.0,0
121,85.0,100.0,30.0,84.0,5.0,54.0,0.0,22.0,48.0,0.0,100.0,21.0,66.0,47.0,0.0,37.0,113.0,0
122,0.0,88.0,24.0,68.0,76.0,33.0,43.0,0.0,29.0,32.0,84.0,66.0,100.0,100.0,8.0,89.0,114.0,0
123,50.0,97.0,72.0,68.0,100.0,100.0,42.0,86.0,93.0,72.0,89.0,48.0,70.0,7.0,0.0,0.0,115.0,0
124,7.0,100.0,0.0,56.0,51.0,37.0,39.0,0.0,9.0,15.0,5.0,62.0,42.0,92.0,100.0,96.0,117.0,0
125,100.0,77.0,92.0,100.0,49.0,76.0,18.0,48.0,0.0,15.0,38.0,0.0,75.0,23.0,29.0,27.0,118.0,0
126,44.0,66.0,67.0,100.0,80.0,62.0,47.0,25.0,5.0,0.0,0.0,3.0,50.0,4.0,100.0,7.0,119.0,0
127,37.0,100.0,48.0,57.0,74.0,97.0,27.0,97.0,80.0,68.0,100.0,26.0,49.0,0.0,0.0,22.0,120.0,0
128,100.0,89.0,40.0,83.0,63.0,40.0,84.0,0.0,0.0,7.0,53.0,53.0,80.0,100.0,3.0,78.0,121.0,0
129,45.0,93.0,0.0,60.0,75.0,69.0,89.0,29.0,19.0,0.0,15.0,43.0,26.0,93.0,100.0,100.0,122.0,0
130,45.0,100.0,10.0,67.0,7.0,16.0,56.0,0.0,100.0,31.0,91.0,79.0,38.0,95.0,0.0,61.0,123.0,0
131,13.0,68.0,15.0,30.0,42.0,0.0,86.0,19.0,100.0,56.0,84.0,90.0,33.0,100.0,0.0,73.0,124.0,0
132,49.0,83.0,8.0,57.0,0.0,17.0,51.0,0.0,93.0,28.0,100.0,70.0,61.0,100.0,8.0,86.0,125.0,0
133,22.0,93.0,0.0,95.0,50.0,97.0,100.0,100.0,67.0,81.0,43.0,56.0,28.0,28.0,30.0,0.0,127.0,0
134,52.0,91.0,72.0,100.0,87.0,70.0,57.0,43.0,100.0,45.0,90.0,15.0,43.0,0.0,0.0,12.0,128.0,0
135,96.0,100.0,52.0,95.0,48.0,76.0,96.0,98.0,100.0,85.0,71.0,54.0,39.0,25.0,0.0,0.0,129.0,0
136,29.0,73.0,56.0,100.0,68.0,71.0,45.0,38.0,11.0,12.0,0.0,8.0,50.0,6.0,100.0,0.0,130.0,0
137,14.0,94.0,4.0,63.0,43.0,36.0,36.0,0.0,10.0,27.0,0.0,72.0,47.0,92.0,100.0,100.0,131.0,0
138,53.0,87.0,32.0,47.0,98.0,64.0,69.0,100.0,58.0,69.0,100.0,61.0,71.0,3.0,0.0,0.0,132.0,0
139,68.0,100.0,24.0,83.0,0.0,41.0,13.0,0.0,60.0,3.0,99.0,30.0,100.0,71.0,55.0,89.0,133.0,0
140,100.0,98.0,60.0,100.0,29.0,73.0,10.0,41.0,6.0,6.0,46.0,0.0,46.0,27.0,0.0,30.0,134.0,0
141,100.0,70.0,58.0,100.0,10.0,75.0,0.0,24.0,48.0,0.0,100.0,19.0,97.0,68.0,45.0,81.0,135.0,0
142,84.0,100.0,59.0,99.0,16.0,72.0,0.0,42.0,20.0,12.0,100.0,0.0,94.0,22.0,4.0,27.0,136.0,0
143,100.0,100.0,53.0,81.0,25.0,54.0,11.0,25.0,38.0,0.0,99.0,8.0,65.0,29.0,0.0,25.0,137.0,0
144,0.0,42.0,30.0,56.0,59.0,72.0,86.0,94.0,100.0,100.0,80.0,68.0,62.0,35.0,53.0,0.0,138.0,0
145,73.0,85.0,31.0,65.0,0.0,0.0,52.0,9.0,100.0,57.0,82.0,100.0,81.0,78.0,38.0,25.0,140.0,0
146,28.0,82.0,0.0,39.0,30.0,0.0,80.0,5.0,100.0,54.0,70.0,99.0,22.0,100.0,7.0,50.0,141.0,0
147,86.0,100.0,48.0,79.0,13.0,52.0,0.0,22.0,45.0,0.0,100.0,16.0,76.0,40.0,6.0,35.0,142.0,0
148,40.0,79.0,61.0,100.0,78.0,72.0,46.0,41.0,0.0,16.0,1.0,5.0,61.0,1.0,100.0,0.0,143.0,0
149,100.0,88.0,69.0,100.0,20.0,84.0,70.0,86.0,93.0,71.0,70.0,44.0,38.0,19.0,0.0,0.0,144.0,0
150,30.0,98.0,16.0,60.0,53.0,28.0,46.0,0.0,13.0,29.0,0.0,68.0,27.0,95.0,100.0,100.0,145.0,0
151,2.0,78.0,46.0,99.0,100.0,100.0,77.0,76.0,94.0,38.0,94.0,0.0,41.0,3.0,0.0,28.0,146.0,0
152,0.0,42.0,34.0,57.0,64.0,79.0,95.0,100.0,100.0,85.0,81.0,57.0,62.0,28.0,45.0,0.0,147.0,0
153,3.0,66.0,16.0,100.0,27.0,69.0,14.0,32.0,0.0,0.0,33.0,5.0,67.0,10.0,100.0,11.0,149.0,0
154,29.0,38.0,61.0,60.0,92.0,83.0,100.0,100.0,73.0,76.0,49.0,50.0,25.0,25.0,0.0,0.0,151.0,0
155,0.0,63.0,41.0,77.0,79.0,94.0,100.0,100.0,85.0,74.0,75.0,48.0,71.0,22.0,82.0,0.0,152.0,0
156,0.0,52.0,52.0,83.0,97.0,100.0,91.0,55.0,84.0,10.0,21.0,0.0,21.0,7.0,100.0,7.0,153.0,0
157,65.0,100.0,24.0,84.0,0.0,48.0,9.0,10.0,61.0,0.0,100.0,24.0,58.0,47.0,2.0,46.0,154.0,0
158,88.0,80.0,12.0,80.0,100.0,100.0,100.0,91.0,65.0,68.0,29.0,46.0,6.0,23.0,0.0,0.0,155.0,0
159,13.0,80.0,53.0,71.0,100.0,100.0,23.0,99.0,0.0,71.0,81.0,74.0,74.0,40.0,47.0,0.0,156.0,0
160,0.0,79.0,51.0,59.0,100.0,29.0,51.0,0.0,22.0,26.0,51.0,60.0,73.0,94.0,9.0,100.0,157.0,0
161,0.0,100.0,67.0,100.0,86.0,72.0,56.0,37.0,34.0,0.0,6.0,33.0,32.0,45.0,100.0,46.0,159.0,0
162,37.0,84.0,69.0,100.0,96.0,87.0,55.0,61.0,88.0,38.0,100.0,9.0,51.0,0.0,0.0,3.0,160.0,0
163,0.0,100.0,73.0,97.0,95.0,80.0,100.0,64.0,95.0,48.0,82.0,31.0,64.0,15.0,23.0,0.0,161.0,0
164,0.0,59.0,77.0,74.0,100.0,100.0,17.0,93.0,7.0,71.0,82.0,68.0,45.0,35.0,20.0,0.0,162.0,0
165,2.0,85.0,31.0,100.0,76.0,74.0,62.0,37.0,47.0,0.0,100.0,8.0,68.0,30.0,0.0,41.0,163.0,0
166,21.0,75.0,40.0,100.0,85.0,94.0,67.0,63.0,100.0,43.0,95.0,11.0,47.0,0.0,0.0,13.0,165.0,0
167,48.0,100.0,15.0,83.0,0.0,39.0,23.0,1.0,71.0,0.0,100.0,34.0,86.0,77.0,44.0,98.0,166.0,0
168,24.0,100.0,100.0,99.0,93.0,78.0,64.0,48.0,39.0,17.0,19.0,0.0,0.0,31.0,72.0,38.0,167.0,0
169,45.0,85.0,93.0,100.0,100.0,98.0,48.0,88.0,7.0,62.0,48.0,48.0,48.0,18.0,0.0,0.0,168.0,0
170,54.0,93.0,0.0,88.0,54.0,46.0,70.0,0.0,5.0,9.0,54.0,52.0,100.0,96.0,7.0,100.0,169.0,0
171,46.0,83.0,87.0,100.0,100.0,79.0,75.0,54.0,90.0,36.0,100.0,13.0,49.0,0.0,0.0,12.0,170.0,0
172,84.0,100.0,46.0,98.0,13.0,60.0,0.0,19.0,53.0,0.0,100.0,32.0,33.0,36.0,10.0,4.0,171.0,0
173,26.0,74.0,19.0,49.0,64.0,21.0,20.0,0.0,1.0,25.0,0.0,64.0,45.0,87.0,100.0,100.0,172.0,0
174,39.0,62.0,78.0,88.0,79.0,100.0,57.0,64.0,38.0,30.0,0.0,0.0,34.0,4.0,100.0,0.0,173.0,0
175,14.0,100.0,1.0,54.0,51.0,47.0,36.0,0.0,0.0,14.0,6.0,71.0,42.0,93.0,100.0,97.0,174.0,0
176,0.0,65.0,43.0,76.0,93.0,96.0,100.0,100.0,71.0,75.0,48.0,50.0,26.0,25.0,5.0,0.0,175.0,0
177,0.0,70.0,53.0,88.0,64.0,100.0,62.0,78.0,70.0,57.0,83.0,36.0,100.0,14.0,98.0,0.0,176.0,0
178,0.0,67.0,16.0,80.0,64.0,100.0,85.0,99.0,85.0,74.0,89.0,49.0,95.0,24.0,100.0,0.0,177.0,0
179,88.0,99.0,45.0,82.0,78.0,75.0,90.0,100.0,100.0,68.0,93.0,36.0,59.0,9.0,0.0,0.0,178.0,0
180,24.0,100.0,14.0,55.0,72.0,52.0,54.0,0.0,8.0,2.0,0.0,58.0,35.0,95.0,100.0,99.0,180.0,0
181,0.0,78.0,18.0,96.0,59.0,95.0,100.0,100.0,86.0,82.0,66.0,56.0,52.0,29.0,47.0,0.0,181.0,0
182,0.0,91.0,46.0,100.0,85.0,80.0,91.0,40.0,88.0,0.0,99.0,22.0,100.0,52.0,50.0,49.0,182.0,0
183,21.0,92.0,85.0,100.0,90.0,67.0,67.0,34.0,49.0,0.0,0.0,26.0,27.0,43.0,100.0,42.0,183.0,0
184,31.0,95.0,5.0,61.0,0.0,23.0,32.0,0.0,77.0,18.0,100.0,51.0,82.0,85.0,37.0,100.0,184.0,0
185,19.0,73.0,54.0,91.0,100.0,100.0,99.0,78.0,86.0,52.0,78.0,26.0,43.0,8.0,0.0,0.0,185.0,0
186,98.0,100.0,52.0,77.0,18.0,52.0,0.0,25.0,25.0,0.0,100.0,5.0,97.0,29.0,23.0,22.0,186.0,0
187,79.0,74.0,21.0,67.0,15.0,92.0,71.0,100.0,100.0,75.0,73.0,45.0,36.0,18.0,0.0,0.0,187.0,0
188,100.0,100.0,59.0,79.0,26.0,54.0,2.0,28.0,1.0,0.0,58.0,0.0,58.0,21.0,0.0,19.0,188.0,0
189,19.0,86.0,35.0,72.0,95.0,94.0,0.0,100.0,60.0,78.0,100.0,52.0,67.0,26.0,26.0,0.0,189.0,0
190,16.0,59.0,0.0,31.0,31.0,0.0,78.0,15.0,100.0,55.0,87.0,98.0,40.0,100.0,6.0,67.0,190.0,0
191,83.0,86.0,44.0,100.0,0.0,74.0,58.0,67.0,100.0,94.0,89.0,63.0,77.0,31.0,75.0,0.0,191.0,0
